tmax,tmin,station,date
17,7.3,AEROPARQUE AERO,2018-10-02
17.4,3,AZUL AERO,2018-10-02
17.5,2.4,BAHIA BLANCA AERO,2018-10-02
9.1,1.8,BARILOCHE AERO,2018-10-02
-21.3,-28.5,BASE BELGRANO II,2018-10-02
-0.4,-6.4,BASE CARLINI (EX JUBANY),2018-10-02
-0.2,-9.9,BASE ESPERANZA,2018-10-02
-7,-15.1,BASE MARAMBIO,2018-10-02
-1.2,,BASE ORCADAS,2018-10-02
-5.8,-13.4,BASE SAN MARTIN,2018-10-02
17.3,1.3,BENITO JUAREZ AERO,2018-10-02
23,17.8,BERNARDO DE IRIGOYEN AERO,2018-10-02
18.3,3.9,BOLIVAR AERO,2018-10-02
18.3,5,BUENOS AIRES,2018-10-02
18.8,1.4,CAMPO DE MAYO AERO,2018-10-02
25.5,11,CATAMARCA AERO,2018-10-02
21.5,7.8,CERES AERO,2018-10-02
22,8.4,CHAMICAL AERO,2018-10-02
9.4,2.2,CHAPELCO AERO,2018-10-02
23.5,6.5,CHEPES,2018-10-02
23.5,3.5,CHILECITO AERO,2018-10-02
18.1,3.9,CIPOLLETTI,2018-10-02
15.6,3.6,COMODORO RIVADAVIA AERO,2018-10-02
18.8,7,CONCORDIA AERO,2018-10-02
21.6,2.1,CORDOBA AERO,2018-10-02
23,8,CORDOBA OBSERVATORIO,2018-10-02
16,1.6,CORONEL PRINGLES AERO,2018-10-02
16.4,-0.5,CORONEL SUAREZ AERO,2018-10-02
18,12,CORRIENTES AERO,2018-10-02
18.4,4.8,DOLORES AERO,2018-10-02
12.5,2,EL BOLSON AERO,2018-10-02
9.9,1,EL CALAFATE AERO,2018-10-02
18.6,0.5,EL PALOMAR AERO,2018-10-02
20.5,0,EL TREBOL,2018-10-02
,,ESC.AVIACION MILITAR AERO,2018-10-02
8.6,1.8,ESQUEL AERO,2018-10-02
19.1,2.6,EZEIZA AERO,2018-10-02
19.4,15.6,FORMOSA AERO,2018-10-02
20,3,GENERAL PICO AERO,2018-10-02
12,0,GOBERNADOR GREGORES AERO,2018-10-02
17.4,4,GUALEGUAYCHU AERO,2018-10-02
25.6,20.8,IGUAZU AERO,2018-10-02
19,14.5,ITUZAINGO,2018-10-02
22.5,-2,JACHAL,2018-10-02
22.1,11.1,JUJUY AERO,2018-10-02
23.1,9.8,JUJUY U N,2018-10-02
19.8,1,JUNIN AERO,2018-10-02
17,1.8,LA PLATA AERO,2018-10-02
24.6,3.3,LA QUIACA OBS.,2018-10-02
26,8,LA RIOJA AERO,2018-10-02
22.1,-0.1,LABOULAYE AERO,2018-10-02
18.5,4,LAS FLORES AERO,2018-10-02
18.6,15,LAS LOMITAS,2018-10-02
15.9,-1.9,MALARGUE AERO,2018-10-02
11.5,-1.6,MAQUINCHAO,2018-10-02
18.6,1.3,MAR DEL PLATA AERO,2018-10-02
20.8,2,MARCOS JUAREZ AERO,2018-10-02
19,0.1,MARIANO MORENO AERO,2018-10-02
22.6,4.6,MENDOZA AERO,2018-10-02
21.9,5,MENDOZA OBSERVATORIO,2018-10-02
20.5,10.6,MERCEDES AERO (CTES),2018-10-02
